ssfuehrer_literatur_id,ssfuehrer_literatur_verkn_ssfuehrer,ssfuehrer_literatur_verkn_literatur,ssfuehrer_literatur_lfdeNr,ssfuehrer_literatur_seite,ssfuehrer_literatur_standVom
41,47583,1087,246,22,
43,47587,1087,248,22,
70,47584,1087,274,22,
71,47590,1087,275,22,
268,47853,1087,566,36,
330,47586,1087,536,34,
573,47582,1087,829,46,
657,47876,1087,914,50,
946,47671,1087,1204,62,
1394,47648,1087,415,28,
1803,47666,1087,2017,96,
1890,47939,1087,384,28,
1891,47940,1087,410,28,
2023,47941,1087,1653,80,
2147,47827,1087,2415,112,
2182,47724,1087,2341,108,
2365,47581,1087,245,20,
2392,47571,1087,2668,122,
2559,47650,1087,2880,130,
2624,47848,1087,2810,126,
2825,47858,1087,3016,134,
3105,47782,1087,3387,150,
4494,47654,1087,4770,202,
4558,47734,1087,4809,204,
4627,47840,1087,4888,208,
4750,47706,1087,4856,206,
5009,47673,1087,5271,222,
5046,47723,1087,5338,224,
5177,47541,1087,5439,228,
5201,47680,1087,5463,230,
5323,47670,1087,5586,234,
5547,47847,1087,5147,218,
6053,47594,1087,6315,264,
6124,47566,1087,6386,266,
6132,47540,1087,6394,266,
6424,47725,1087,6687,278,
7189,47795,1087,7388,298,
7758,47649,1087,7926,311,
7813,47662,1087,7981,312,
7980,47668,1087,8149,316,
8116,47828,1087,8285,320,
8245,47729,1087,8415,323,
8437,47707,1087,8606,327,
8474,47758,1087,8643,328,
8490,47792,1087,8659,329,
8870,47651,1087,8950,336,
9271,47746,1087,9289,344,
9475,47572,1087,9493,349,
9588,47661,1087,9606,352,
9597,47665,1087,9615,352,
10007,47548,1087,10025,362,
