ssfuehrer_ssrang_id,ssfuehrer_ssrang_verkn_ssfuehrer,ssfuehrer_ssrang_verkn_ssrang,ssfuehrer_ssrang_verkn_befoederungsdatum,ssfuehrer_ssrang_verkn_befund
55,47583,7,20.04.1937,FALSE
56,47583,6,12.09.1937,FALSE
59,47587,7,20.04.1937,FALSE
60,47587,6,12.09.1937,FALSE
160,47584,8,20.04.1937,FALSE
161,47584,7,12.09.1937,FALSE
162,47584,6,30.01.1938,FALSE
163,47590,8,20.04.1937,FALSE
164,47590,7,12.09.1937,FALSE
165,47590,6,30.01.1938,FALSE
922,47853,9,12.09.1937,FALSE
923,47853,8,31.12.1937,FALSE
924,47853,7,20.04.1938,FALSE
1169,47586,8,20.04.1937,FALSE
1170,47586,7,30.01.1938,FALSE
2120,47582,9,20.04.1937,FALSE
2121,47582,8,09.11.1937,FALSE
2427,47876,8,01.07.1938,FALSE
3426,47671,12,01.12.1933,FALSE
3427,47671,11,09.05.1934,FALSE
3428,47671,10,20.04.1935,FALSE
3429,47671,9,09.11.1936,FALSE
4990,47648,12,24.12.1932,FALSE
4991,47648,10,20.04.1933,FALSE
4992,47648,9,24.12.1933,FALSE
4993,47648,8,15.09.1935,FALSE
4994,47648,7,20.04.1936,FALSE
6210,47666,12,09.11.1933,FALSE
6211,47666,11,04.07.1934,FALSE
6212,47666,10,20.04.1935,FALSE
6464,47939,12,11.02.1931,FALSE
6465,47939,7,02.07.1935,FALSE
6466,47940,10,09.11.1932,FALSE
6467,47940,8,20.04.1934,FALSE
6468,47940,7,20.04.1936,FALSE
6825,47941,10,01.02.1932,FALSE
6826,47941,9,11.09.1938,FALSE
7181,47827,11,01.07.1934,FALSE
7182,47827,10,30.01.1937,FALSE
7284,47724,12,09.11.1933,FALSE
7285,47724,11,15.09.1935,FALSE
7286,47724,10,09.11.1936,FALSE
7878,47581,7,20.04.1937,FALSE
7879,47581,6,12.09.1937,FALSE
7956,47571,10,20.04.1937,FALSE
8432,47650,12,10.03.1935,FALSE
8433,47650,11,20.04.1936,FALSE
8434,47650,10,09.11.1937,FALSE
8622,47848,11,01.10.1936,FALSE
8623,47848,10,12.09.1937,FALSE
9170,47858,10,30.01.1938,FALSE
9853,47782,12,15.09.1935,FALSE
9854,47782,11,09.11.1936,FALSE
9855,47782,10,11.09.1938,FALSE
12831,47654,12,09.11.1934,FALSE
12832,47654,11,30.01.1937,FALSE
12959,47734,12,01.06.1935,FALSE
12960,47734,11,30.01.1937,FALSE
13097,47840,12,20.04.1936,FALSE
13098,47840,11,30.01.1937,FALSE
13339,47706,12,09.11.1935,FALSE
13340,47706,11,30.01.1937,FALSE
13848,47673,12,09.11.1934,FALSE
13849,47673,11,12.09.1937,FALSE
13922,47723,12,09.11.1935,FALSE
13923,47723,11,12.09.1937,FALSE
14184,47541,12,20.04.1937,FALSE
14185,47541,11,12.09.1937,FALSE
14219,47680,12,20.04.1934,FALSE
14220,47680,11,09.11.1937,FALSE
14458,47670,12,20.04.1935,FALSE
14459,47670,11,30.01.1938,FALSE
14879,47847,12,24.12.1935,FALSE
14880,47847,11,20.04.1937,FALSE
15844,47594,12,12.04.1937,FALSE
15845,47594,11,11.09.1938,FALSE
15986,47566,12,20.04.1937,FALSE
15987,47566,11,11.09.1938,FALSE
16002,47540,12,01.05.1937,FALSE
16003,47540,11,11.09.1938,FALSE
16554,47725,12,12.09.1937,FALSE
16555,47725,11,09.11.1938,FALSE
17411,47795,12,20.04.1935,FALSE
18014,47649,12,09.11.1935,FALSE
18069,47662,12,09.11.1935,FALSE
18236,47668,12,30.01.1936,FALSE
18373,47828,12,20.04.1936,FALSE
18502,47729,12,13.09.1936,FALSE
18698,47707,12,09.11.1936,FALSE
18734,47758,12,09.11.1936,FALSE
18750,47792,12,09.11.1936,FALSE
19130,47651,12,20.04.1937,FALSE
19531,47746,12,20.04.1937,FALSE
19735,47572,12,20.04.1937,FALSE
19848,47661,12,12.09.1937,FALSE
19857,47665,12,12.09.1937,FALSE
20267,47548,12,12.09.1937,FALSE
